Concurso,Data,MC 5/1
141,1964-02-29,59
141,1964-02-29,2
142,1964-03-04,81
142,1964-03-04,40
142,1964-03-04,98
142,1964-03-04,85
142,1964-03-04,90
143,1964-03-07,46
143,1964-03-07,36
143,1964-03-07,29
143,1964-03-07,78
143,1964-03-07,27
144,1964-03-11,20
144,1964-03-11,11
144,1964-03-11,86
144,1964-03-11,8
144,1964-03-11,24
145,1964-03-14,4
145,1964-03-14,44
145,1964-03-14,85
145,1964-03-14,94
145,1964-03-14,90
146,1964-03-18,17
146,1964-03-18,26
146,1964-03-18,32
146,1964-03-18,44
146,1964-03-18,67
147,1964-03-21,1
147,1964-03-21,77
147,1964-03-21,33
147,1964-03-21,25
147,1964-03-21,32
148,1964-03-25,64
148,1964-03-25,17
148,1964-03-25,35
148,1964-03-25,69
148,1964-03-25,31
149,1964-04-06,82
149,1964-04-06,78
149,1964-04-06,28
149,1964-04-06,12
149,1964-04-06,46
150,1964-04-04,28
150,1964-04-04,45
150,1964-04-04,66
150,1964-04-04,64
150,1964-04-04,38
151,1964-04-08,71
151,1964-04-08,37
151,1964-04-08,70
151,1964-04-08,0
151,1964-04-08,7
152,1964-04-11,44
152,1964-04-11,89
152,1964-04-11,93
152,1964-04-11,67
152,1964-04-11,82
153,1964-04-15,63
153,1964-04-15,76
153,1964-04-15,53
153,1964-04-15,49
153,1964-04-15,38
154,1964-04-18,39
154,1964-04-18,36
154,1964-04-18,95
154,1964-04-18,28
154,1964-04-18,46
155,1964-04-22,36
155,1964-04-22,45
155,1964-04-22,38
155,1964-04-22,62
155,1964-04-22,5
156,1964-04-25,82
156,1964-04-25,68
156,1964-04-25,93
156,1964-04-25,29
156,1964-04-25,75
157,1964-04-29,13
157,1964-04-29,58
157,1964-04-29,14
157,1964-04-29,48
157,1964-04-29,85
158,1964-05-02,72
158,1964-05-02,63
158,1964-05-02,13
158,1964-05-02,67
158,1964-05-02,93
159,1964-05-06,4
159,1964-05-06,75
159,1964-05-06,2
159,1964-05-06,45
159,1964-05-06,43
160,1964-05-09,4
160,1964-05-09,62
160,1964-05-09,24
160,1964-05-09,1
160,1964-05-09,97
161,1964-05-13,95
161,1964-05-13,1
161,1964-05-13,15
161,1964-05-13,37
161,1964-05-13,70
162,1964-05-16,76
162,1964-05-16,40
162,1964-05-16,64
162,1964-05-16,13
162,1964-05-16,84
163,1964-05-20,17
163,1964-05-20,22
163,1964-05-20,92
163,1964-05-20,71
163,1964-05-20,15
164,1964-05-23,41
164,1964-05-23,94
164,1964-05-23,3
164,1964-05-23,51
164,1964-05-23,93
165,1964-05-27,5
165,1964-05-27,41
165,1964-05-27,56
165,1964-05-27,85
165,1964-05-27,31
166,1964-05-30,0
166,1964-05-30,41
166,1964-05-30,47
166,1964-05-30,61
166,1964-05-30,94
167,1964-06-03,16
167,1964-06-03,17
167,1964-06-03,0
167,1964-06-03,25
167,1964-06-03,89
168,1964-06-06,62
168,1964-06-06,97
168,1964-06-06,82
168,1964-06-06,16
168,1964-06-06,82
169,1964-06-10,63
169,1964-06-10,89
169,1964-06-10,99
169,1964-06-10,23
169,1964-06-10,84
170,1964-06-13,42
170,1964-06-13,62
170,1964-06-13,93
170,1964-06-13,40
170,1964-06-13,77
171,1964-06-17,21
171,1964-06-17,83
171,1964-06-17,88
171,1964-06-17,23
171,1964-06-17,53
172,1964-06-20,25
172,1964-06-20,51
172,1964-06-20,2
172,1964-06-20,67
172,1964-06-20,8
173,1964-06-24,42
173,1964-06-24,20
173,1964-06-24,25
173,1964-06-24,89
173,1964-06-24,4
174,1964-06-27,14
174,1964-06-27,21
174,1964-06-27,42
174,1964-06-27,54
174,1964-06-27,24
175,1964-07-01,3
175,1964-07-01,82
175,1964-07-01,73
175,1964-07-01,89
175,1964-07-01,5
176,1964-07-04,69
176,1964-07-04,73
176,1964-07-04,15
176,1964-07-04,23
176,1964-07-04,12
177,1964-07-08,36
177,1964-07-08,51
177,1964-07-08,32
177,1964-07-08,52
177,1964-07-08,88
178,1964-07-11,13
178,1964-07-11,86
178,1964-07-11,85
178,1964-07-11,63
178,1964-07-11,85
179,1964-07-15,89
179,1964-07-15,15
179,1964-07-15,19
179,1964-07-15,18
179,1964-07-15,16
180,1964-07-18,96
180,1964-07-18,49
180,1964-07-18,75
180,1964-07-18,86
180,1964-07-18,50
181,1964-07-22,30
181,1964-07-22,43
181,1964-07-22,1
181,1964-07-22,3
181,1964-07-22,88
182,1964-07-25,29
182,1964-07-25,85
182,1964-07-25,82
182,1964-07-25,43
182,1964-07-25,35
183,1964-07-29,60
183,1964-07-29,86
183,1964-07-29,4
183,1964-07-29,13
183,1964-07-29,92
184,1964-08-01,92
184,1964-08-01,38
184,1964-08-01,44
184,1964-08-01,35
184,1964-08-01,34
185,1964-08-05,6
185,1964-08-05,34
185,1964-08-05,4
185,1964-08-05,57
185,1964-08-05,32
186,1964-08-08,26
186,1964-08-08,73
186,1964-08-08,79
186,1964-08-08,2
186,1964-08-08,37
187,1964-08-12,52
187,1964-08-12,65
187,1964-08-12,19
187,1964-08-12,29
187,1964-08-12,88
188,1964-08-19,60
188,1964-08-19,56
188,1964-08-19,66
188,1964-08-19,22
188,1964-08-19,69
189,1964-08-22,5
189,1964-08-22,89
189,1964-08-22,37
189,1964-08-22,34
189,1964-08-22,92
190,1964-08-26,83
190,1964-08-26,51
190,1964-08-26,12
190,1964-08-26,41
190,1964-08-26,71
191,1964-08-29,50
191,1964-08-29,36
191,1964-08-29,29
191,1964-08-29,7
191,1964-08-29,89
192,1964-09-02,6
192,1964-09-02,86
192,1964-09-02,42
192,1964-09-02,32
192,1964-09-02,4
193,1964-09-05,23
193,1964-09-05,21
193,1964-09-05,60
193,1964-09-05,44
193,1964-09-05,23
194,1964-09-09,49
194,1964-09-09,55
194,1964-09-09,67
194,1964-09-09,54
194,1964-09-09,21
195,1964-09-12,18
195,1964-09-12,89
195,1964-09-12,21
195,1964-09-12,79
195,1964-09-12,95
196,1964-09-16,19
196,1964-09-16,58
196,1964-09-16,56
196,1964-09-16,54
196,1964-09-16,95
197,1964-09-19,98
197,1964-09-19,48
197,1964-09-19,8
197,1964-09-19,60
197,1964-09-19,21
198,1964-09-23,69
198,1964-09-23,64
198,1964-09-23,21
198,1964-09-23,14
198,1964-09-23,74
199,1964-09-26,15
199,1964-09-26,12
199,1964-09-26,41
199,1964-09-26,13
199,1964-09-26,17
200,1964-09-30,77
200,1964-09-30,57
200,1964-09-30,18
200,1964-09-30,14
200,1964-09-30,86
201,1964-10-03,40
201,1964-10-03,9
201,1964-10-03,39
201,1964-10-03,14
201,1964-10-03,52
202,1964-10-07,86
202,1964-10-07,67
202,1964-10-07,83
202,1964-10-07,36
202,1964-10-07,97
203,1964-10-10,2
203,1964-10-10,66
203,1964-10-10,98
203,1964-10-10,6
203,1964-10-10,94
204,1964-10-14,39
204,1964-10-14,57
204,1964-10-14,81
204,1964-10-14,96
204,1964-10-14,63
205,1964-10-17,86
205,1964-10-17,32
205,1964-10-17,42
205,1964-10-17,33
205,1964-10-17,51
206,1964-10-21,91
206,1964-10-21,6
206,1964-10-21,19
206,1964-10-21,53
206,1964-10-21,28
207,1964-10-24,18
207,1964-10-24,54
207,1964-10-24,98
207,1964-10-24,9
207,1964-10-24,64
208,1964-10-28,35
208,1964-10-28,21
208,1964-10-28,62
208,1964-10-28,50
208,1964-10-28,45
209,1964-10-31,7
209,1964-10-31,15
209,1964-10-31,28
209,1964-10-31,36
209,1964-10-31,54
210,1964-11-04,98
210,1964-11-04,73
210,1964-11-04,51
210,1964-11-04,54
210,1964-11-04,29
211,1964-11-07,15
211,1964-11-07,13
211,1964-11-07,45
211,1964-11-07,79
211,1964-11-07,65
212,1964-11-11,88
212,1964-11-11,34
212,1964-11-11,33
212,1964-11-11,89
212,1964-11-11,88
213,1964-11-14,92
213,1964-11-14,30
213,1964-11-14,84
213,1964-11-14,96
213,1964-11-14,92
214,1964-11-18,90
214,1964-11-18,46
214,1964-11-18,26
214,1964-11-18,30
214,1964-11-18,41
215,1964-11-21,80
215,1964-11-21,95
215,1964-11-21,51
215,1964-11-21,46
215,1964-11-21,15
216,1964-11-25,44
216,1964-11-25,57
216,1964-11-25,15
216,1964-11-25,18
216,1964-11-25,73
217,1964-11-28,0
217,1964-11-28,51
217,1964-11-28,46
217,1964-11-28,59
217,1964-11-28,77
218,1964-12-02,49
218,1964-12-02,72
218,1964-12-02,63
218,1964-12-02,15
218,1964-12-02,20
219,1964-12-05,52
219,1964-12-05,71
219,1964-12-05,45
219,1964-12-05,61
219,1964-12-05,62
220,1964-12-09,93
220,1964-12-09,75
220,1964-12-09,67
220,1964-12-09,65
220,1964-12-09,60
221,1964-12-12,59
221,1964-12-12,78
221,1964-12-12,47
221,1964-12-12,10
221,1964-12-12,96
222,1964-12-16,53
222,1964-12-16,73
222,1964-12-16,12
222,1964-12-16,16
222,1964-12-16,39
223,1964-12-19,19
223,1964-12-19,45
223,1964-12-19,94
223,1964-12-19,44
223,1964-12-19,90
224,1964-12-23,44
224,1964-12-23,51
224,1964-12-23,13
224,1964-12-23,42
224,1964-12-23,15
225,1964-12-26,82
225,1964-12-26,57
225,1964-12-26,10
225,1964-12-26,53
225,1964-12-26,81
226,1964-12-30,12
226,1964-12-30,40
226,1964-12-30,66
226,1964-12-30,4
226,1964-12-30,99
227,1965-01-06,15
227,1965-01-06,84
227,1965-01-06,27
227,1965-01-06,0
227,1965-01-06,25
228,1965-01-09,95
228,1965-01-09,68
228,1965-01-09,52
228,1965-01-09,60
228,1965-01-09,47
229,1965-01-13,4
229,1965-01-13,41
229,1965-01-13,22
229,1965-01-13,64
229,1965-01-13,20
230,1965-01-16,29
230,1965-01-16,58
230,1965-01-16,97
230,1965-01-16,82
230,1965-01-16,75
231,1965-01-23,56
231,1965-01-23,5
231,1965-01-23,66
231,1965-01-23,87
231,1965-01-23,77
232,1965-01-27,41
232,1965-01-27,69
232,1965-01-27,24
232,1965-01-27,80
232,1965-01-27,49
233,1965-01-30,57
233,1965-01-30,19
233,1965-01-30,95
233,1965-01-30,83
233,1965-01-30,52
234,1965-02-03,46
234,1965-02-03,34
234,1965-02-03,30
234,1965-02-03,0
234,1965-02-03,48
235,1965-02-06,53
235,1965-02-06,65
235,1965-02-06,90
235,1965-02-06,70
235,1965-02-06,21
236,1965-02-10,10
236,1965-02-10,54
236,1965-02-10,22
236,1965-02-10,57
236,1965-02-10,45
237,1965-02-13,57
237,1965-02-13,87
237,1965-02-13,43
237,1965-02-13,51
237,1965-02-13,3
238,1965-02-17,68
238,1965-02-17,44
238,1965-02-17,68
238,1965-02-17,70
238,1965-02-17,87
239,1965-02-20,49
239,1965-02-20,19
239,1965-02-20,84
239,1965-02-20,93
239,1965-02-20,43
240,1965-02-24,43
240,1965-02-24,44
240,1965-02-24,78
240,1965-02-24,3
240,1965-02-24,29
241,1965-02-27,2
241,1965-02-27,92
241,1965-02-27,68
241,1965-02-27,84
241,1965-02-27,46
242,1965-03-06,83
242,1965-03-06,53
242,1965-03-06,22
242,1965-03-06,42
242,1965-03-06,54
243,1965-03-10,42
243,1965-03-10,17
243,1965-03-10,64
243,1965-03-10,66
243,1965-03-10,55
244,1965-03-13,20
244,1965-03-13,94
244,1965-03-13,73
244,1965-03-13,91
244,1965-03-13,4
245,1965-03-17,68
245,1965-03-17,21
245,1965-03-17,16
245,1965-03-17,9
245,1965-03-17,72
246,1965-03-20,55
246,1965-03-20,88
246,1965-03-20,44
246,1965-03-20,83
246,1965-03-20,76
247,1965-03-24,26
247,1965-03-24,15
247,1965-03-24,57
247,1965-03-24,69
247,1965-03-24,25
248,1965-03-27,12
248,1965-03-27,72
248,1965-03-27,26
248,1965-03-27,73
248,1965-03-27,2
249,1965-03-31,44
249,1965-03-31,78
249,1965-03-31,18
249,1965-03-31,96
249,1965-03-31,21
250,1965-04-03,35
250,1965-04-03,98
250,1965-04-03,82
250,1965-04-03,77
250,1965-04-03,43
251,1965-04-07,89
251,1965-04-07,77
251,1965-04-07,30
251,1965-04-07,31
251,1965-04-07,93
252,1965-04-10,87
252,1965-04-10,97
252,1965-04-10,7
252,1965-04-10,66
252,1965-04-10,21
253,1965-04-14,58
253,1965-04-14,93
253,1965-04-14,8
253,1965-04-14,81
253,1965-04-14,42
254,1965-04-17,1
254,1965-04-17,12
254,1965-04-17,68
