Concurso,Data,D/SEMAN,1º PRÊMIO,S 1º,MC 1º,MC P/I 1º,P/I 1º,D 1º,D P/I 1º,GP 1º,GP P/I 1º,BICHO 1º,2º PRÊMIO,S 2º,MC 2º,MC P/I 2º,P/I 2º,D 2º,D P/I 2º,GP 2º,GP P/I 2º,BICHO 2º,3º PRÊMIO,S 3º,MC 3º,MC P/I 3º,P/I 3º,D 3º,D P/I 3º,GP 3º,GP P/I 3º,BICHO 3º,4º PRÊMIO,S 4º,MC 4º,MC P/I 4º,P/I 4º,D 4º,D P/I 4º,GP 4º,GP P/I 4º,BICHO 4º,5º PRÊMIO,S 5º,MC 5º,MC P/I 5º,P/I 5º,D 5º,D P/I 5º,GP 5º,GP P/I 5º,BICHO 5º
4404,2009-12-05,sábado,8659,"[8,6,5,9]",86,"[P,P]","[P,P,I,I]",59,"[I,I]",15,IMPAR,JACARÉ,234,"[0,2,3,4]",02,"[P,P]","[P,P,I,P]",34,"[I,P]",09,IMPAR,COBRA,1807,"[1,8,0,7]",18,"[I,P]","[I,P,P,I]",07,"[P,I]",02,PAR,ÁGUIA,195,"[0,1,9,5]",01,"[P,I]","[P,I,I,I]",95,"[I,I]",24,PAR,VEADO,4316,"[4,3,1,6]",43,"[P,I]","[P,I,I,P]",16,"[I,P]",04,PAR,BORBOLETA
4405,2009-12-09,quarta-feira,246,"[0,2,4,6]",02,"[P,P]","[P,P,P,P]",46,"[P,P]",12,PAR,ELEFANTE,1312,"[1,3,1,2]",13,"[I,I]","[I,I,I,P]",12,"[I,P]",03,IMPAR,BURRO,5993,"[5,9,9,3]",59,"[I,I]","[I,I,I,I]",93,"[I,I]",24,PAR,VEADO,7455,"[7,4,5,5]",74,"[I,P]","[I,P,I,I]",55,"[I,I]",14,PAR,GATO,4214,"[4,2,1,4]",42,"[P,P]","[P,P,I,P]",14,"[I,P]",04,PAR,BORBOLETA
4406,2009-12-12,sábado,5643,"[5,6,4,3]",56,"[I,P]","[I,P,P,I]",43,"[P,I]",11,IMPAR,CAVALO,8333,"[8,3,3,3]",83,"[P,I]","[P,I,I,I]",33,"[I,I]",09,IMPAR,COBRA,9606,"[9,6,0,6]",96,"[I,P]","[I,P,P,P]",06,"[P,P]",02,PAR,ÁGUIA,5353,"[5,3,5,3]",53,"[I,I]","[I,I,I,I]",53,"[I,I]",14,PAR,GATO,8257,"[8,2,5,7]",82,"[P,P]","[P,P,I,I]",57,"[I,I]",15,IMPAR,JACARÉ
4407,2009-12-16,quarta-feira,2475,"[2,4,7,5]",24,"[P,P]","[P,P,I,I]",75,"[I,I]",19,IMPAR,PAVÃO,3914,"[3,9,1,4]",39,"[I,I]","[I,I,I,P]",14,"[I,P]",04,PAR,BORBOLETA,9303,"[9,3,0,3]",93,"[I,I]","[I,I,P,I]",03,"[P,I]",01,IMPAR,AVESTRUZ,4567,"[4,5,6,7]",45,"[P,I]","[P,I,P,I]",67,"[P,I]",17,IMPAR,MACACO,6260,"[6,2,6,0]",62,"[P,P]","[P,P,P,P]",60,"[P,P]",15,IMPAR,JACARÉ
4408,2009-12-19,sábado,5912,"[5,9,1,2]",59,"[I,I]","[I,I,I,P]",12,"[I,P]",03,IMPAR,BURRO,235,"[0,2,3,5]",02,"[P,P]","[P,P,I,I]",35,"[I,I]",09,IMPAR,COBRA,9561,"[9,5,6,1]",95,"[I,I]","[I,I,P,I]",61,"[P,I]",16,PAR,LEÃO,6083,"[6,0,8,3]",60,"[P,P]","[P,P,P,I]",83,"[P,I]",21,IMPAR,TOURO,2555,"[2,5,5,5]",25,"[P,I]","[P,I,I,I]",55,"[I,I]",14,PAR,GATO
4409,2009-12-23,quarta-feira,8593,"[8,5,9,3]",85,"[P,I]","[P,I,I,I]",93,"[I,I]",24,PAR,VEADO,9331,"[9,3,3,1]",93,"[I,I]","[I,I,I,I]",31,"[I,I]",08,PAR,CAMELO,49,"[0,0,4,9]",00,"[P,P]","[P,P,P,I]",49,"[P,I]",13,IMPAR,GALO,9189,"[9,1,8,9]",91,"[I,I]","[I,I,P,I]",89,"[P,I]",23,IMPAR,URSO,2741,"[2,7,4,1]",27,"[P,I]","[P,I,P,I]",41,"[P,I]",11,IMPAR,CAVALO
4410,2009-12-26,sábado,8473,"[8,4,7,3]",84,"[P,P]","[P,P,I,I]",73,"[I,I]",19,IMPAR,PAVÃO,7701,"[7,7,0,1]",77,"[I,I]","[I,I,P,I]",01,"[P,I]",01,IMPAR,AVESTRUZ,2054,"[2,0,5,4]",20,"[P,P]","[P,P,I,P]",54,"[I,P]",14,PAR,GATO,8660,"[8,6,6,0]",86,"[P,P]","[P,P,P,P]",60,"[P,P]",15,IMPAR,JACARÉ,805,"[0,8,0,5]",08,"[P,P]","[P,P,P,I]",05,"[P,I]",02,PAR,ÁGUIA
4411,2009-12-30,quarta-feira,2586,"[2,5,8,6]",25,"[P,I]","[P,I,P,P]",86,"[P,P]",22,PAR,TIGRE,1382,"[1,3,8,2]",13,"[I,I]","[I,I,P,P]",82,"[P,P]",21,IMPAR,TOURO,8781,"[8,7,8,1]",87,"[P,I]","[P,I,P,I]",81,"[P,I]",21,IMPAR,TOURO,3062,"[3,0,6,2]",30,"[I,P]","[I,P,P,P]",62,"[P,P]",16,PAR,LEÃO,7035,"[7,0,3,5]",70,"[I,P]","[I,P,I,I]",35,"[I,I]",09,IMPAR,COBRA
4412,2010-01-02,sábado,662,"[0,6,6,2]",06,"[P,P]","[P,P,P,P]",62,"[P,P]",16,PAR,LEÃO,373,"[0,3,7,3]",03,"[P,I]","[P,I,I,I]",73,"[I,I]",19,IMPAR,PAVÃO,5067,"[5,0,6,7]",50,"[I,P]","[I,P,P,I]",67,"[P,I]",17,IMPAR,MACACO,9985,"[9,9,8,5]",99,"[I,I]","[I,I,P,I]",85,"[P,I]",22,PAR,TIGRE,9059,"[9,0,5,9]",90,"[I,P]","[I,P,I,I]",59,"[I,I]",15,IMPAR,JACARÉ
4413,2010-01-06,quarta-feira,4144,"[4,1,4,4]",41,"[P,I]","[P,I,P,P]",44,"[P,P]",11,IMPAR,CAVALO,3675,"[3,6,7,5]",36,"[I,P]","[I,P,I,I]",75,"[I,I]",19,IMPAR,PAVÃO,5626,"[5,6,2,6]",56,"[I,P]","[I,P,P,P]",26,"[P,P]",07,IMPAR,CARNEIRO,7534,"[7,5,3,4]",75,"[I,I]","[I,I,I,P]",34,"[I,P]",09,IMPAR,COBRA,7800,"[7,8,0,0]",78,"[I,P]","[I,P,P,P]",00,"[P,P]",00,PAR,VACA
