Concurso,Data,D/SEMAN,1º PRÊMIO,S 1º,MC 1º,MC P/I 1º,P/I 1º,D 1º,D P/I 1º,GP 1º,GP P/I 1º,BICHO 1º,2º PRÊMIO,S 2º,MC 2º,MC P/I 2º,P/I 2º,D 2º,D P/I 2º,GP 2º,GP P/I 2º,BICHO 2º,3º PRÊMIO,S 3º,MC 3º,MC P/I 3º,P/I 3º,D 3º,D P/I 3º,GP 3º,GP P/I 3º,BICHO 3º,4º PRÊMIO,S 4º,MC 4º,MC P/I 4º,P/I 4º,D 4º,D P/I 4º,GP 4º,GP P/I 4º,BICHO 4º,5º PRÊMIO,S 5º,MC 5º,MC P/I 5º,P/I 5º,D 5º,D P/I 5º,GP 5º,GP P/I 5º,BICHO 5º
490,1967-08-19,sábado,3159,"[3,1,5,9]",31,"[I,I]","[I,I,I,I]",59,"[I,I]",15,IMPAR,JACARÉ,3219,"[3,2,1,9]",32,"[I,P]","[I,P,I,I]",19,"[I,I]",05,IMPAR,CACHORRO,5426,"[5,4,2,6]",54,"[I,P]","[I,P,P,P]",26,"[P,P]",07,IMPAR,CARNEIRO,7357,"[7,3,5,7]",73,"[I,I]","[I,I,I,I]",57,"[I,I]",15,IMPAR,JACARÉ,6767,"[6,7,6,7]",67,"[P,I]","[P,I,P,I]",67,"[P,I]",17,IMPAR,MACACO
491,1967-08-23,quarta-feira,3825,"[3,8,2,5]",38,"[I,P]","[I,P,P,I]",25,"[P,I]",07,IMPAR,CARNEIRO,1167,"[1,1,6,7]",11,"[I,I]","[I,I,P,I]",67,"[P,I]",17,IMPAR,MACACO,1852,"[1,8,5,2]",18,"[I,P]","[I,P,I,P]",52,"[I,P]",13,IMPAR,GALO,3442,"[3,4,4,2]",34,"[I,P]","[I,P,P,P]",42,"[P,P]",11,IMPAR,CAVALO,7447,"[7,4,4,7]",74,"[I,P]","[I,P,P,I]",47,"[P,I]",12,PAR,ELEFANTE
492,1967-08-26,sábado,9392,"[9,3,9,2]",93,"[I,I]","[I,I,I,P]",92,"[I,P]",23,IMPAR,URSO,5146,"[5,1,4,6]",51,"[I,I]","[I,I,P,P]",46,"[P,P]",12,PAR,ELEFANTE,236,"[0,2,3,6]",02,"[P,P]","[P,P,I,P]",36,"[I,P]",09,IMPAR,COBRA,9511,"[9,5,1,1]",95,"[I,I]","[I,I,I,I]",11,"[I,I]",03,IMPAR,BURRO,3128,"[3,1,2,8]",31,"[I,I]","[I,I,P,P]",28,"[P,P]",07,IMPAR,CARNEIRO
493,1967-08-30,quarta-feira,6644,"[6,6,4,4]",66,"[P,P]","[P,P,P,P]",44,"[P,P]",11,IMPAR,CAVALO,4397,"[4,3,9,7]",43,"[P,I]","[P,I,I,I]",97,"[I,I]",25,IMPAR,VACA,6777,"[6,7,7,7]",67,"[P,I]","[P,I,I,I]",77,"[I,I]",20,PAR,PERU,1147,"[1,1,4,7]",11,"[I,I]","[I,I,P,I]",47,"[P,I]",12,PAR,ELEFANTE,3734,"[3,7,3,4]",37,"[I,I]","[I,I,I,P]",34,"[I,P]",09,IMPAR,COBRA
494,1967-09-02,sábado,9453,"[9,4,5,3]",94,"[I,P]","[I,P,I,I]",53,"[I,I]",14,PAR,GATO,9635,"[9,6,3,5]",96,"[I,P]","[I,P,I,I]",35,"[I,I]",09,IMPAR,COBRA,8489,"[8,4,8,9]",84,"[P,P]","[P,P,P,I]",89,"[P,I]",23,IMPAR,URSO,6148,"[6,1,4,8]",61,"[P,I]","[P,I,P,P]",48,"[P,P]",12,PAR,ELEFANTE,2222,"[2,2,2,2]",22,"[P,P]","[P,P,P,P]",22,"[P,P]",06,PAR,CABRA
495,1967-09-06,quarta-feira,7432,"[7,4,3,2]",74,"[I,P]","[I,P,I,P]",32,"[I,P]",08,PAR,CAMELO,8153,"[8,1,5,3]",81,"[P,I]","[P,I,I,I]",53,"[I,I]",14,PAR,GATO,7614,"[7,6,1,4]",76,"[I,P]","[I,P,I,P]",14,"[I,P]",04,PAR,BORBOLETA,9027,"[9,0,2,7]",90,"[I,P]","[I,P,P,I]",27,"[P,I]",07,IMPAR,CARNEIRO,1720,"[1,7,2,0]",17,"[I,I]","[I,I,P,P]",20,"[P,P]",05,IMPAR,CACHORRO
496,1967-09-09,sábado,1252,"[1,2,5,2]",12,"[I,P]","[I,P,I,P]",52,"[I,P]",13,IMPAR,GALO,7750,"[7,7,5,0]",77,"[I,I]","[I,I,I,P]",50,"[I,P]",13,IMPAR,GALO,3113,"[3,1,1,3]",31,"[I,I]","[I,I,I,I]",13,"[I,I]",04,PAR,BORBOLETA,2234,"[2,2,3,4]",22,"[P,P]","[P,P,I,P]",34,"[I,P]",09,IMPAR,COBRA,4473,"[4,4,7,3]",44,"[P,P]","[P,P,I,I]",73,"[I,I]",19,IMPAR,PAVÃO
497,1967-09-13,quarta-feira,7834,"[7,8,3,4]",78,"[I,P]","[I,P,I,P]",34,"[I,P]",09,IMPAR,COBRA,6069,"[6,0,6,9]",60,"[P,P]","[P,P,P,I]",69,"[P,I]",18,PAR,PORCO,4113,"[4,1,1,3]",41,"[P,I]","[P,I,I,I]",13,"[I,I]",04,PAR,BORBOLETA,7420,"[7,4,2,0]",74,"[I,P]","[I,P,P,P]",20,"[P,P]",05,IMPAR,CACHORRO,4773,"[4,7,7,3]",47,"[P,I]","[P,I,I,I]",73,"[I,I]",19,IMPAR,PAVÃO
498,1967-09-16,sábado,7079,"[7,0,7,9]",70,"[I,P]","[I,P,I,I]",79,"[I,I]",20,PAR,PERU,5735,"[5,7,3,5]",57,"[I,I]","[I,I,I,I]",35,"[I,I]",09,IMPAR,COBRA,7666,"[7,6,6,6]",76,"[I,P]","[I,P,P,P]",66,"[P,P]",17,IMPAR,MACACO,3449,"[3,4,4,9]",34,"[I,P]","[I,P,P,I]",49,"[P,I]",13,IMPAR,GALO,238,"[0,2,3,8]",02,"[P,P]","[P,P,I,P]",38,"[I,P]",10,PAR,COELHO
499,1967-09-20,quarta-feira,6718,"[6,7,1,8]",67,"[P,I]","[P,I,I,P]",18,"[I,P]",05,IMPAR,CACHORRO,7615,"[7,6,1,5]",76,"[I,P]","[I,P,I,I]",15,"[I,I]",04,PAR,BORBOLETA,2092,"[2,0,9,2]",20,"[P,P]","[P,P,I,P]",92,"[I,P]",23,IMPAR,URSO,8655,"[8,6,5,5]",86,"[P,P]","[P,P,I,I]",55,"[I,I]",14,PAR,GATO,6897,"[6,8,9,7]",68,"[P,P]","[P,P,I,I]",97,"[I,I]",25,IMPAR,VACA
500,1967-09-23,sábado,735,"[0,7,3,5]",07,"[P,I]","[P,I,I,I]",35,"[I,I]",09,IMPAR,COBRA,956,"[0,9,5,6]",09,"[P,I]","[P,I,I,P]",56,"[I,P]",14,PAR,GATO,9284,"[9,2,8,4]",92,"[I,P]","[I,P,P,P]",84,"[P,P]",21,IMPAR,TOURO,5511,"[5,5,1,1]",55,"[I,I]","[I,I,I,I]",11,"[I,I]",03,IMPAR,BURRO,6864,"[6,8,6,4]",68,"[P,P]","[P,P,P,P]",64,"[P,P]",16,PAR,LEÃO
501,1967-09-27,quarta-feira,5039,"[5,0,3,9]",50,"[I,P]","[I,P,I,I]",39,"[I,I]",10,PAR,COELHO,6240,"[6,2,4,0]",62,"[P,P]","[P,P,P,P]",40,"[P,P]",10,PAR,COELHO,3515,"[3,5,1,5]",35,"[I,I]","[I,I,I,I]",15,"[I,I]",04,PAR,BORBOLETA,956,"[0,9,5,6]",09,"[P,I]","[P,I,I,P]",56,"[I,P]",14,PAR,GATO,5963,"[5,9,6,3]",59,"[I,I]","[I,I,P,I]",63,"[P,I]",16,PAR,LEÃO
502,1967-09-30,sábado,8594,"[8,5,9,4]",85,"[P,I]","[P,I,I,P]",94,"[I,P]",24,PAR,VEADO,8739,"[8,7,3,9]",87,"[P,I]","[P,I,I,I]",39,"[I,I]",10,PAR,COELHO,9056,"[9,0,5,6]",90,"[I,P]","[I,P,I,P]",56,"[I,P]",14,PAR,GATO,538,"[0,5,3,8]",05,"[P,I]","[P,I,I,P]",38,"[I,P]",10,PAR,COELHO,1384,"[1,3,8,4]",13,"[I,I]","[I,I,P,P]",84,"[P,P]",21,IMPAR,TOURO
503,1967-10-04,quarta-feira,1208,"[1,2,0,8]",12,"[I,P]","[I,P,P,P]",08,"[P,P]",02,PAR,ÁGUIA,6900,"[6,9,0,0]",69,"[P,I]","[P,I,P,P]",00,"[P,P]",00,PAR,VACA,3131,"[3,1,3,1]",31,"[I,I]","[I,I,I,I]",31,"[I,I]",08,PAR,CAMELO,2507,"[2,5,0,7]",25,"[P,I]","[P,I,P,I]",07,"[P,I]",02,PAR,ÁGUIA,7446,"[7,4,4,6]",74,"[I,P]","[I,P,P,P]",46,"[P,P]",12,PAR,ELEFANTE
504,1967-10-07,sábado,8880,"[8,8,8,0]",88,"[P,P]","[P,P,P,P]",80,"[P,P]",20,PAR,PERU,8886,"[8,8,8,6]",88,"[P,P]","[P,P,P,P]",86,"[P,P]",22,PAR,TIGRE,6647,"[6,6,4,7]",66,"[P,P]","[P,P,P,I]",47,"[P,I]",12,PAR,ELEFANTE,3786,"[3,7,8,6]",37,"[I,I]","[I,I,P,P]",86,"[P,P]",22,PAR,TIGRE,1599,"[1,5,9,9]",15,"[I,I]","[I,I,I,I]",99,"[I,I]",25,IMPAR,VACA
505,1967-10-11,quarta-feira,2738,"[2,7,3,8]",27,"[P,I]","[P,I,I,P]",38,"[I,P]",10,PAR,COELHO,8750,"[8,7,5,0]",87,"[P,I]","[P,I,I,P]",50,"[I,P]",13,IMPAR,GALO,4093,"[4,0,9,3]",40,"[P,P]","[P,P,I,I]",93,"[I,I]",24,PAR,VEADO,9383,"[9,3,8,3]",93,"[I,I]","[I,I,P,I]",83,"[P,I]",21,IMPAR,TOURO,3266,"[3,2,6,6]",32,"[I,P]","[I,P,P,P]",66,"[P,P]",17,IMPAR,MACACO
506,1967-10-14,sábado,1507,"[1,5,0,7]",15,"[I,I]","[I,I,P,I]",07,"[P,I]",02,PAR,ÁGUIA,6532,"[6,5,3,2]",65,"[P,I]","[P,I,I,P]",32,"[I,P]",08,PAR,CAMELO,1994,"[1,9,9,4]",19,"[I,I]","[I,I,I,P]",94,"[I,P]",24,PAR,VEADO,3864,"[3,8,6,4]",38,"[I,P]","[I,P,P,P]",64,"[P,P]",16,PAR,LEÃO,6331,"[6,3,3,1]",63,"[P,I]","[P,I,I,I]",31,"[I,I]",08,PAR,CAMELO
507,1967-10-18,quarta-feira,4675,"[4,6,7,5]",46,"[P,P]","[P,P,I,I]",75,"[I,I]",19,IMPAR,PAVÃO,6146,"[6,1,4,6]",61,"[P,I]","[P,I,P,P]",46,"[P,P]",12,PAR,ELEFANTE,425,"[0,4,2,5]",04,"[P,P]","[P,P,P,I]",25,"[P,I]",07,IMPAR,CARNEIRO,9055,"[9,0,5,5]",90,"[I,P]","[I,P,I,I]",55,"[I,I]",14,PAR,GATO,5851,"[5,8,5,1]",58,"[I,P]","[I,P,I,I]",51,"[I,I]",13,IMPAR,GALO
508,1967-10-21,sábado,8785,"[8,7,8,5]",87,"[P,I]","[P,I,P,I]",85,"[P,I]",22,PAR,TIGRE,7198,"[7,1,9,8]",71,"[I,I]","[I,I,I,P]",98,"[I,P]",25,IMPAR,VACA,5370,"[5,3,7,0]",53,"[I,I]","[I,I,I,P]",70,"[I,P]",18,PAR,PORCO,6514,"[6,5,1,4]",65,"[P,I]","[P,I,I,P]",14,"[I,P]",04,PAR,BORBOLETA,8388,"[8,3,8,8]",83,"[P,I]","[P,I,P,P]",88,"[P,P]",22,PAR,TIGRE
509,1967-10-25,quarta-feira,2394,"[2,3,9,4]",23,"[P,I]","[P,I,I,P]",94,"[I,P]",24,PAR,VEADO,2325,"[2,3,2,5]",23,"[P,I]","[P,I,P,I]",25,"[P,I]",07,IMPAR,CARNEIRO,9806,"[9,8,0,6]",98,"[I,P]","[I,P,P,P]",06,"[P,P]",02,PAR,ÁGUIA,7229,"[7,2,2,9]",72,"[I,P]","[I,P,P,I]",29,"[P,I]",08,PAR,CAMELO,5216,"[5,2,1,6]",52,"[I,P]","[I,P,I,P]",16,"[I,P]",04,PAR,BORBOLETA
510,1967-10-28,sábado,2066,"[2,0,6,6]",20,"[P,P]","[P,P,P,P]",66,"[P,P]",17,IMPAR,MACACO,459,"[0,4,5,9]",04,"[P,P]","[P,P,I,I]",59,"[I,I]",15,IMPAR,JACARÉ,5567,"[5,5,6,7]",55,"[I,I]","[I,I,P,I]",67,"[P,I]",17,IMPAR,MACACO,7838,"[7,8,3,8]",78,"[I,P]","[I,P,I,P]",38,"[I,P]",10,PAR,COELHO,5091,"[5,0,9,1]",50,"[I,P]","[I,P,I,I]",91,"[I,I]",23,IMPAR,URSO
511,1967-11-01,quarta-feira,3476,"[3,4,7,6]",34,"[I,P]","[I,P,I,P]",76,"[I,P]",19,IMPAR,PAVÃO,5240,"[5,2,4,0]",52,"[I,P]","[I,P,P,P]",40,"[P,P]",10,PAR,COELHO,6083,"[6,0,8,3]",60,"[P,P]","[P,P,P,I]",83,"[P,I]",21,IMPAR,TOURO,1613,"[1,6,1,3]",16,"[I,P]","[I,P,I,I]",13,"[I,I]",04,PAR,BORBOLETA,9132,"[9,1,3,2]",91,"[I,I]","[I,I,I,P]",32,"[I,P]",08,PAR,CAMELO
512,1967-11-04,sábado,7214,"[7,2,1,4]",72,"[I,P]","[I,P,I,P]",14,"[I,P]",04,PAR,BORBOLETA,9605,"[9,6,0,5]",96,"[I,P]","[I,P,P,I]",05,"[P,I]",02,PAR,ÁGUIA,3944,"[3,9,4,4]",39,"[I,I]","[I,I,P,P]",44,"[P,P]",11,IMPAR,CAVALO,9175,"[9,1,7,5]",91,"[I,I]","[I,I,I,I]",75,"[I,I]",19,IMPAR,PAVÃO,5500,"[5,5,0,0]",55,"[I,I]","[I,I,P,P]",00,"[P,P]",00,PAR,VACA
513,1967-11-08,quarta-feira,9090,"[9,0,9,0]",90,"[I,P]","[I,P,I,P]",90,"[I,P]",23,IMPAR,URSO,646,"[0,6,4,6]",06,"[P,P]","[P,P,P,P]",46,"[P,P]",12,PAR,ELEFANTE,7056,"[7,0,5,6]",70,"[I,P]","[I,P,I,P]",56,"[I,P]",14,PAR,GATO,7100,"[7,1,0,0]",71,"[I,I]","[I,I,P,P]",00,"[P,P]",00,PAR,VACA,8978,"[8,9,7,8]",89,"[P,I]","[P,I,I,P]",78,"[I,P]",20,PAR,PERU
514,1967-11-11,sábado,5195,"[5,1,9,5]",51,"[I,I]","[I,I,I,I]",95,"[I,I]",24,PAR,VEADO,3816,"[3,8,1,6]",38,"[I,P]","[I,P,I,P]",16,"[I,P]",04,PAR,BORBOLETA,1625,"[1,6,2,5]",16,"[I,P]","[I,P,P,I]",25,"[P,I]",07,IMPAR,CARNEIRO,8507,"[8,5,0,7]",85,"[P,I]","[P,I,P,I]",07,"[P,I]",02,PAR,ÁGUIA,1676,"[1,6,7,6]",16,"[I,P]","[I,P,I,P]",76,"[I,P]",19,IMPAR,PAVÃO
515,1967-11-18,sábado,8260,"[8,2,6,0]",82,"[P,P]","[P,P,P,P]",60,"[P,P]",15,IMPAR,JACARÉ,8601,"[8,6,0,1]",86,"[P,P]","[P,P,P,I]",01,"[P,I]",01,IMPAR,AVESTRUZ,6588,"[6,5,8,8]",65,"[P,I]","[P,I,P,P]",88,"[P,P]",22,PAR,TIGRE,8013,"[8,0,1,3]",80,"[P,P]","[P,P,I,I]",13,"[I,I]",04,PAR,BORBOLETA,3510,"[3,5,1,0]",35,"[I,I]","[I,I,I,P]",10,"[I,P]",03,IMPAR,BURRO
516,1967-11-22,quarta-feira,2812,"[2,8,1,2]",28,"[P,P]","[P,P,I,P]",12,"[I,P]",03,IMPAR,BURRO,7805,"[7,8,0,5]",78,"[I,P]","[I,P,P,I]",05,"[P,I]",02,PAR,ÁGUIA,9829,"[9,8,2,9]",98,"[I,P]","[I,P,P,I]",29,"[P,I]",08,PAR,CAMELO,9885,"[9,8,8,5]",98,"[I,P]","[I,P,P,I]",85,"[P,I]",22,PAR,TIGRE,7625,"[7,6,2,5]",76,"[I,P]","[I,P,P,I]",25,"[P,I]",07,IMPAR,CARNEIRO
517,1967-11-25,sábado,8061,"[8,0,6,1]",80,"[P,P]","[P,P,P,I]",61,"[P,I]",16,PAR,LEÃO,5772,"[5,7,7,2]",57,"[I,I]","[I,I,I,P]",72,"[I,P]",18,PAR,PORCO,2787,"[2,7,8,7]",27,"[P,I]","[P,I,P,I]",87,"[P,I]",22,PAR,TIGRE,2697,"[2,6,9,7]",26,"[P,P]","[P,P,I,I]",97,"[I,I]",25,IMPAR,VACA,9566,"[9,5,6,6]",95,"[I,I]","[I,I,P,P]",66,"[P,P]",17,IMPAR,MACACO
518,1967-11-29,quarta-feira,6726,"[6,7,2,6]",67,"[P,I]","[P,I,P,P]",26,"[P,P]",07,IMPAR,CARNEIRO,1256,"[1,2,5,6]",12,"[I,P]","[I,P,I,P]",56,"[I,P]",14,PAR,GATO,7250,"[7,2,5,0]",72,"[I,P]","[I,P,I,P]",50,"[I,P]",13,IMPAR,GALO,2075,"[2,0,7,5]",20,"[P,P]","[P,P,I,I]",75,"[I,I]",19,IMPAR,PAVÃO,3461,"[3,4,6,1]",34,"[I,P]","[I,P,P,I]",61,"[P,I]",16,PAR,LEÃO
519,1967-12-02,sábado,9431,"[9,4,3,1]",94,"[I,P]","[I,P,I,I]",31,"[I,I]",08,PAR,CAMELO,9730,"[9,7,3,0]",97,"[I,I]","[I,I,I,P]",30,"[I,P]",08,PAR,CAMELO,3844,"[3,8,4,4]",38,"[I,P]","[I,P,P,P]",44,"[P,P]",11,IMPAR,CAVALO,1047,"[1,0,4,7]",10,"[I,P]","[I,P,P,I]",47,"[P,I]",12,PAR,ELEFANTE,7323,"[7,3,2,3]",73,"[I,I]","[I,I,P,I]",23,"[P,I]",06,PAR,CABRA
520,1967-12-06,quarta-feira,8090,"[8,0,9,0]",80,"[P,P]","[P,P,I,P]",90,"[I,P]",23,IMPAR,URSO,1694,"[1,6,9,4]",16,"[I,P]","[I,P,I,P]",94,"[I,P]",24,PAR,VEADO,4154,"[4,1,5,4]",41,"[P,I]","[P,I,I,P]",54,"[I,P]",14,PAR,GATO,723,"[0,7,2,3]",07,"[P,I]","[P,I,P,I]",23,"[P,I]",06,PAR,CABRA,7281,"[7,2,8,1]",72,"[I,P]","[I,P,P,I]",81,"[P,I]",21,IMPAR,TOURO
521,1967-12-09,sábado,2231,"[2,2,3,1]",22,"[P,P]","[P,P,I,I]",31,"[I,I]",08,PAR,CAMELO,342,"[0,3,4,2]",03,"[P,I]","[P,I,P,P]",42,"[P,P]",11,IMPAR,CAVALO,6563,"[6,5,6,3]",65,"[P,I]","[P,I,P,I]",63,"[P,I]",16,PAR,LEÃO,4009,"[4,0,0,9]",40,"[P,P]","[P,P,P,I]",09,"[P,I]",03,IMPAR,BURRO,3216,"[3,2,1,6]",32,"[I,P]","[I,P,I,P]",16,"[I,P]",04,PAR,BORBOLETA
522,1967-12-13,quarta-feira,9505,"[9,5,0,5]",95,"[I,I]","[I,I,P,I]",05,"[P,I]",02,PAR,ÁGUIA,7364,"[7,3,6,4]",73,"[I,I]","[I,I,P,P]",64,"[P,P]",16,PAR,LEÃO,8721,"[8,7,2,1]",87,"[P,I]","[P,I,P,I]",21,"[P,I]",06,PAR,CABRA,1779,"[1,7,7,9]",17,"[I,I]","[I,I,I,I]",79,"[I,I]",20,PAR,PERU,7132,"[7,1,3,2]",71,"[I,I]","[I,I,I,P]",32,"[I,P]",08,PAR,CAMELO
523,1967-12-16,sábado,4634,"[4,6,3,4]",46,"[P,P]","[P,P,I,P]",34,"[I,P]",09,IMPAR,COBRA,8751,"[8,7,5,1]",87,"[P,I]","[P,I,I,I]",51,"[I,I]",13,IMPAR,GALO,9941,"[9,9,4,1]",99,"[I,I]","[I,I,P,I]",41,"[P,I]",11,IMPAR,CAVALO,1213,"[1,2,1,3]",12,"[I,P]","[I,P,I,I]",13,"[I,I]",04,PAR,BORBOLETA,4669,"[4,6,6,9]",46,"[P,P]","[P,P,P,I]",69,"[P,I]",18,PAR,PORCO
524,1967-12-20,quarta-feira,6955,"[6,9,5,5]",69,"[P,I]","[P,I,I,I]",55,"[I,I]",14,PAR,GATO,1516,"[1,5,1,6]",15,"[I,I]","[I,I,I,P]",16,"[I,P]",04,PAR,BORBOLETA,3211,"[3,2,1,1]",32,"[I,P]","[I,P,I,I]",11,"[I,I]",03,IMPAR,BURRO,5713,"[5,7,1,3]",57,"[I,I]","[I,I,I,I]",13,"[I,I]",04,PAR,BORBOLETA,8974,"[8,9,7,4]",89,"[P,I]","[P,I,I,P]",74,"[I,P]",19,IMPAR,PAVÃO
525,1967-12-23,sábado,4601,"[4,6,0,1]",46,"[P,P]","[P,P,P,I]",01,"[P,I]",01,IMPAR,AVESTRUZ,9333,"[9,3,3,3]",93,"[I,I]","[I,I,I,I]",33,"[I,I]",09,IMPAR,COBRA,4677,"[4,6,7,7]",46,"[P,P]","[P,P,I,I]",77,"[I,I]",20,PAR,PERU,4079,"[4,0,7,9]",40,"[P,P]","[P,P,I,I]",79,"[I,I]",20,PAR,PERU,4129,"[4,1,2,9]",41,"[P,I]","[P,I,P,I]",29,"[P,I]",08,PAR,CAMELO
526,1967-12-27,quarta-feira,3788,"[3,7,8,8]",37,"[I,I]","[I,I,P,P]",88,"[P,P]",22,PAR,TIGRE,8464,"[8,4,6,4]",84,"[P,P]","[P,P,P,P]",64,"[P,P]",16,PAR,LEÃO,5001,"[5,0,0,1]",50,"[I,P]","[I,P,P,I]",01,"[P,I]",01,IMPAR,AVESTRUZ,3431,"[3,4,3,1]",34,"[I,P]","[I,P,I,I]",31,"[I,I]",08,PAR,CAMELO,7406,"[7,4,0,6]",74,"[I,P]","[I,P,P,P]",06,"[P,P]",02,PAR,ÁGUIA
527,1967-12-30,sábado,389,"[0,3,8,9]",03,"[P,I]","[P,I,P,I]",89,"[P,I]",23,IMPAR,URSO,4653,"[4,6,5,3]",46,"[P,P]","[P,P,I,I]",53,"[I,I]",14,PAR,GATO,9469,"[9,4,6,9]",94,"[I,P]","[I,P,P,I]",69,"[P,I]",18,PAR,PORCO,5606,"[5,6,0,6]",56,"[I,P]","[I,P,P,P]",06,"[P,P]",02,PAR,ÁGUIA,4693,"[4,6,9,3]",46,"[P,P]","[P,P,I,I]",93,"[I,I]",24,PAR,VEADO
528,1968-01-03,quarta-feira,5807,"[5,8,0,7]",58,"[I,P]","[I,P,P,I]",07,"[P,I]",02,PAR,ÁGUIA,5355,"[5,3,5,5]",53,"[I,I]","[I,I,I,I]",55,"[I,I]",14,PAR,GATO,6493,"[6,4,9,3]",64,"[P,P]","[P,P,I,I]",93,"[I,I]",24,PAR,VEADO,9847,"[9,8,4,7]",98,"[I,P]","[I,P,P,I]",47,"[P,I]",12,PAR,ELEFANTE,473,"[0,4,7,3]",04,"[P,P]","[P,P,I,I]",73,"[I,I]",19,IMPAR,PAVÃO
529,1968-01-06,sábado,8046,"[8,0,4,6]",80,"[P,P]","[P,P,P,P]",46,"[P,P]",12,PAR,ELEFANTE,2508,"[2,5,0,8]",25,"[P,I]","[P,I,P,P]",08,"[P,P]",02,PAR,ÁGUIA,7920,"[7,9,2,0]",79,"[I,I]","[I,I,P,P]",20,"[P,P]",05,IMPAR,CACHORRO,402,"[0,4,0,2]",04,"[P,P]","[P,P,P,P]",02,"[P,P]",01,IMPAR,AVESTRUZ,5265,"[5,2,6,5]",52,"[I,P]","[I,P,P,I]",65,"[P,I]",17,IMPAR,MACACO
530,1968-01-10,quarta-feira,6446,"[6,4,4,6]",64,"[P,P]","[P,P,P,P]",46,"[P,P]",12,PAR,ELEFANTE,5791,"[5,7,9,1]",57,"[I,I]","[I,I,I,I]",91,"[I,I]",23,IMPAR,URSO,7596,"[7,5,9,6]",75,"[I,I]","[I,I,I,P]",96,"[I,P]",24,PAR,VEADO,580,"[0,5,8,0]",05,"[P,I]","[P,I,P,P]",80,"[P,P]",20,PAR,PERU,4224,"[4,2,2,4]",42,"[P,P]","[P,P,P,P]",24,"[P,P]",06,PAR,CABRA
531,1968-01-13,sábado,1454,"[1,4,5,4]",14,"[I,P]","[I,P,I,P]",54,"[I,P]",14,PAR,GATO,9702,"[9,7,0,2]",97,"[I,I]","[I,I,P,P]",02,"[P,P]",01,IMPAR,AVESTRUZ,6635,"[6,6,3,5]",66,"[P,P]","[P,P,I,I]",35,"[I,I]",09,IMPAR,COBRA,4312,"[4,3,1,2]",43,"[P,I]","[P,I,I,P]",12,"[I,P]",03,IMPAR,BURRO,6166,"[6,1,6,6]",61,"[P,I]","[P,I,P,P]",66,"[P,P]",17,IMPAR,MACACO
532,1968-01-17,quarta-feira,2140,"[2,1,4,0]",21,"[P,I]","[P,I,P,P]",40,"[P,P]",10,PAR,COELHO,6391,"[6,3,9,1]",63,"[P,I]","[P,I,I,I]",91,"[I,I]",23,IMPAR,URSO,6035,"[6,0,3,5]",60,"[P,P]","[P,P,I,I]",35,"[I,I]",09,IMPAR,COBRA,9599,"[9,5,9,9]",95,"[I,I]","[I,I,I,I]",99,"[I,I]",25,IMPAR,VACA,1794,"[1,7,9,4]",17,"[I,I]","[I,I,I,P]",94,"[I,P]",24,PAR,VEADO
533,1968-01-20,sábado,5087,"[5,0,8,7]",50,"[I,P]","[I,P,P,I]",87,"[P,I]",22,PAR,TIGRE,5166,"[5,1,6,6]",51,"[I,I]","[I,I,P,P]",66,"[P,P]",17,IMPAR,MACACO,7313,"[7,3,1,3]",73,"[I,I]","[I,I,I,I]",13,"[I,I]",04,PAR,BORBOLETA,3178,"[3,1,7,8]",31,"[I,I]","[I,I,I,P]",78,"[I,P]",20,PAR,PERU,9898,"[9,8,9,8]",98,"[I,P]","[I,P,I,P]",98,"[I,P]",25,IMPAR,VACA
534,1968-01-24,quarta-feira,3344,"[3,3,4,4]",33,"[I,I]","[I,I,P,P]",44,"[P,P]",11,IMPAR,CAVALO,8368,"[8,3,6,8]",83,"[P,I]","[P,I,P,P]",68,"[P,P]",17,IMPAR,MACACO,5824,"[5,8,2,4]",58,"[I,P]","[I,P,P,P]",24,"[P,P]",06,PAR,CABRA,9269,"[9,2,6,9]",92,"[I,P]","[I,P,P,I]",69,"[P,I]",18,PAR,PORCO,2179,"[2,1,7,9]",21,"[P,I]","[P,I,I,I]",79,"[I,I]",20,PAR,PERU
535,1968-01-27,sábado,1459,"[1,4,5,9]",14,"[I,P]","[I,P,I,I]",59,"[I,I]",15,IMPAR,JACARÉ,7756,"[7,7,5,6]",77,"[I,I]","[I,I,I,P]",56,"[I,P]",14,PAR,GATO,6677,"[6,6,7,7]",66,"[P,P]","[P,P,I,I]",77,"[I,I]",20,PAR,PERU,3421,"[3,4,2,1]",34,"[I,P]","[I,P,P,I]",21,"[P,I]",06,PAR,CABRA,6192,"[6,1,9,2]",61,"[P,I]","[P,I,I,P]",92,"[I,P]",23,IMPAR,URSO
536,1968-01-31,quarta-feira,1693,"[1,6,9,3]",16,"[I,P]","[I,P,I,I]",93,"[I,I]",24,PAR,VEADO,9460,"[9,4,6,0]",94,"[I,P]","[I,P,P,P]",60,"[P,P]",15,IMPAR,JACARÉ,6151,"[6,1,5,1]",61,"[P,I]","[P,I,I,I]",51,"[I,I]",13,IMPAR,GALO,3495,"[3,4,9,5]",34,"[I,P]","[I,P,I,I]",95,"[I,I]",24,PAR,VEADO,5417,"[5,4,1,7]",54,"[I,P]","[I,P,I,I]",17,"[I,I]",05,IMPAR,CACHORRO
